Service, Sub-service, Path (relative from the Azure root folder: https://github.com/Azure/azure-rest-api-specs/tree/main/)
common-v1, types-v1, specification/common-types/resource-management/v1/types.json
common-v2, types-v2, specification/common-types/resource-management/v2/types.json
common-v3, types-v3, specification/common-types/resource-management/v3/types.json
common-types, rfc7517, specification/common-types/rfcs/rfc7517.json
common-types-v1, privatelinks-v1, specification/common-types/resource-management/v1/privatelinks.json
common-types-v3, privatelinks-v3, specification/common-types/resource-management/v3/privatelinks.json
servicebus-common, servicebus-common, specification/servicebus/resource-manager/common/v1/definitions.json
servicebus-common, servicebus-common, specification/servicebus/resource-manager/common/v2/definitions.json
common-security, security, specification/security/resource-manager/common/v1/types.json
guestconfiguration-common, guestconfiguration-common, specification/guestconfiguration/resource-manager/Microsoft.GuestConfiguration/common/v1/definitions.json
eventhub-common, eventhub-common, specification/eventhub/resource-manager/common/v1/definitions.json
eventhub-common-v2, eventhub-common-v2, specification/eventhub/resource-manager/common/v2/definitions.json
streamanalytics-common, StreamAnalytics-common, specification/streamanalytics/resource-manager/Microsoft.StreamAnalytics/common/v1/definitions.json
securityinsights-common-types, securityinsights-common-types, specification/automation/resource-manager/Microsoft.Automation/common/v1/definitions.json
automation-types, automation-types, specification/securityinsights/resource-manager/common/1.0/types.json
sql-types, sql-types, specification/sql/resource-manager/common/v1/types.json
Microsoft.Management, management, specification/managementgroups/resource-manager/Microsoft.Management/stable/2021-04-01/management.json
Microsoft.Maps, maps-management, specification/maps/resource-manager/Microsoft.Maps/stable/2021-02-01/maps-management.json
Microsoft.ResourceGraph, resourcegraph, specification/resourcegraph/resource-manager/Microsoft.ResourceGraph/stable/2021-03-01/resourcegraph.json
Microsoft.Cache, redisenterprise, specification/redisenterprise/resource-manager/Microsoft.Cache/stable/2021-08-01/redisenterprise.json
Microsoft.DBforPostgreSQL, PrivateDnsZone, specification/postgresql/resource-manager/Microsoft.DBforPostgreSQL/stable/2021-06-01/PrivateDnsZone.json
Microsoft.DBforPostgreSQL, Databases, specification/postgresql/resource-manager/Microsoft.DBforPostgreSQL/stable/2021-06-01/Databases.json
Microsoft.DBforPostgreSQL, postgresql, specification/postgresql/resource-manager/Microsoft.DBforPostgreSQL/stable/2021-06-01/postgresql.json
Microsoft.StoragePool, storagepool, specification/storagepool/resource-manager/Microsoft.StoragePool/stable/2021-08-01/storagepool.json
Microsoft.ServiceBus, AuthorizationRules, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/AuthorizationRules.json
Microsoft.ServiceBus, migrationconfigs, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/migrationconfigs.json
Microsoft.ServiceBus, CheckNameAvailability, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/CheckNameAvailability.json
Microsoft.ServiceBus, DisasterRecoveryConfig, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/DisasterRecoveryConfig.json
Microsoft.ServiceBus, namespace-preview, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/namespace-preview.json
Microsoft.ServiceBus, subscriptions, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/subscriptions.json
Microsoft.ServiceBus, Queue, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/Queue.json
Microsoft.ServiceBus, Rules, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/Rules.json
Microsoft.ServiceBus, networksets, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/networksets.json
Microsoft.ServiceBus, operations, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/operations.json
Microsoft.ServiceBus, topics, specification/servicebus/resource-manager/Microsoft.ServiceBus/stable/2021-11-01/topics.json
Microsoft.Advisor, advisor, specification/advisor/resource-manager/Microsoft.Advisor/stable/2020-01-01/advisor.json
Microsoft.ApiManagement, apimskus, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimskus.json
Microsoft.ApiManagement, apimreports, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimreports.json
Microsoft.ApiManagement, apimapisByTags, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimapisByTags.json
Microsoft.ApiManagement, apimprivatelink, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimprivatelink.json
Microsoft.ApiManagement, apimnamedvalues, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimnamedvalues.json
Microsoft.ApiManagement, apimdeployment, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimdeployment.json
Microsoft.ApiManagement, apimcontenttypes, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimcontenttypes.json
Microsoft.ApiManagement, apimproducts, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimproducts.json
Microsoft.ApiManagement, apimtagresources, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimtagresources.json
Microsoft.ApiManagement, apimopenidconnectproviders, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimopenidconnectproviders.json
Microsoft.ApiManagement, apimtenant, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimtenant.json
Microsoft.ApiManagement, apimanagement, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimanagement.json
Microsoft.ApiManagement, apimemailtemplates, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimemailtemplates.json
Microsoft.ApiManagement, apimapis, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimapis.json
Microsoft.ApiManagement, apimauthorizationservers, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimauthorizationservers.json
Microsoft.ApiManagement, apimnotifications, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimnotifications.json
Microsoft.ApiManagement, apimtags, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimtags.json
Microsoft.ApiManagement, apimloggers, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimloggers.json
Microsoft.ApiManagement, apimquotas, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimquotas.json
Microsoft.ApiManagement, apimportalsettings, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimportalsettings.json
Microsoft.ApiManagement, apimsubscriptions, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimsubscriptions.json
Microsoft.ApiManagement, apimconnectivitycheck, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimconnectivitycheck.json
Microsoft.ApiManagement, apimportalrevisions, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimportalrevisions.json
Microsoft.ApiManagement, apimoutbounddependency, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimoutbounddependency.json
Microsoft.ApiManagement, apimidentityprovider, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimidentityprovider.json
Microsoft.ApiManagement, apimregions, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimregions.json
Microsoft.ApiManagement, apimissues, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimissues.json
Microsoft.ApiManagement, apimcaches, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimcaches.json
Microsoft.ApiManagement, apimpolicydescriptions, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimpolicydescriptions.json
Microsoft.ApiManagement, apimpolicies, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimpolicies.json
Microsoft.ApiManagement, apimdiagnostics, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimdiagnostics.json
Microsoft.ApiManagement, apimsettings, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimsettings.json
Microsoft.ApiManagement, apimgateways, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimgateways.json
Microsoft.ApiManagement, apimgroups, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimgroups.json
Microsoft.ApiManagement, definitions, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/definitions.json
Microsoft.ApiManagement, apimdeletedservices, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimdeletedservices.json
Microsoft.ApiManagement, apimbackends, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimbackends.json
Microsoft.ApiManagement, apimusers, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimusers.json
Microsoft.ApiManagement, apimcertificates, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimcertificates.json
Microsoft.ApiManagement, apimnetworkstatus, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimnetworkstatus.json
Microsoft.ApiManagement, apimproductsByTags, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimproductsByTags.json
Microsoft.ApiManagement, apimapiversionsets, specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/apimapiversionsets.json
Microsoft.Aadiam, privateLinkForAzureAD, specification/azureactivedirectory/resource-manager/Microsoft.Aadiam/stable/2020-03-01/privateLinkForAzureAD.json
Microsoft.Aadiam, privateLinkResources, specification/azureactivedirectory/resource-manager/Microsoft.Aadiam/stable/2020-03-01/privateLinkResources.json
Microsoft.Aadiam, privateEndpointConnections, specification/azureactivedirectory/resource-manager/Microsoft.Aadiam/stable/2020-03-01/privateEndpointConnections.json
Microsoft.DevTestLab, DTL, specification/devtestlabs/resource-manager/Microsoft.DevTestLab/stable/2018-09-15/DTL.json
Microsoft.NetApp, netapp, specification/netapp/resource-manager/Microsoft.NetApp/stable/2021-08-01/netapp.json
Microsoft.AAD, oucontainer, specification/domainservices/resource-manager/Microsoft.AAD/stable/2021-05-01/oucontainer.json
Microsoft.AAD, domainservices, specification/domainservices/resource-manager/Microsoft.AAD/stable/2021-05-01/domainservices.json
Microsoft.ImportExport, storageimportexport, specification/storageimportexport/resource-manager/Microsoft.ImportExport/stable/2020-08-01/storageimportexport.json
Microsoft.NotificationHubs, notificationhubs, specification/notificationhubs/resource-manager/Microsoft.NotificationHubs/stable/2017-04-01/notificationhubs.json
Microsoft.Confluent, confluent, specification/confluent/resource-manager/Microsoft.Confluent/stable/2020-03-01/confluent.json
Microsoft.Insights, actionGroups_API, specification/monitor/resource-manager/Microsoft.Insights/stable/2021-09-01/actionGroups_API.json
Microsoft.LabServices, ML, specification/labservices/resource-manager/Microsoft.LabServices/stable/2018-10-15/ML.json
Microsoft.ManagedServices, managedservices, specification/managedservices/resource-manager/Microsoft.ManagedServices/stable/2019-09-01/managedservices.json
Microsoft.HealthcareApis, healthcare-apis, specification/healthcareapis/resource-manager/Microsoft.HealthcareApis/stable/2021-01-11/healthcare-apis.json
Microsoft.StorageSync, storagesync, specification/storagesync/resource-manager/Microsoft.StorageSync/stable/2020-09-01/storagesync.json
Microsoft.ContainerRegistry, containerregistry, specification/containerregistry/resource-manager/Microsoft.ContainerRegistry/stable/2021-09-01/containerregistry.json
Microsoft.DigitalTwins, digitaltwins, specification/digitaltwins/resource-manager/Microsoft.DigitalTwins/stable/2020-12-01/digitaltwins.json
Microsoft.ContainerInstance, containerInstance, specification/containerinstance/resource-manager/Microsoft.ContainerInstance/stable/2021-09-01/containerInstance.json
Microsoft.DBforMariaDB, Servers, specification/mariadb/resource-manager/Microsoft.DBforMariaDB/stable/2020-01-01/Servers.json
Microsoft.DocumentDB, restorable, specification/cosmos-db/resource-manager/Microsoft.DocumentDB/stable/2021-10-15/restorable.json
Microsoft.DocumentDB, managedCassandra, specification/cosmos-db/resource-manager/Microsoft.DocumentDB/stable/2021-10-15/managedCassandra.json
Microsoft.DocumentDB, rbac, specification/cosmos-db/resource-manager/Microsoft.DocumentDB/stable/2021-10-15/rbac.json
Microsoft.DocumentDB, cosmos-db, specification/cosmos-db/resource-manager/Microsoft.DocumentDB/stable/2021-10-15/cosmos-db.json
Microsoft.DocumentDB, notebook, specification/cosmos-db/resource-manager/Microsoft.DocumentDB/stable/2021-10-15/notebook.json
Microsoft.DocumentDB, privateEndpointConnection, specification/cosmos-db/resource-manager/Microsoft.DocumentDB/stable/2021-10-15/privateEndpointConnection.json
Microsoft.DocumentDB, privateLinkResources, specification/cosmos-db/resource-manager/Microsoft.DocumentDB/stable/2021-10-15/privateLinkResources.json
Microsoft.StorageCache, storagecache, specification/storagecache/resource-manager/Microsoft.StorageCache/stable/2021-09-01/storagecache.json
Microsoft.Elastic, elastic, specification/elastic/resource-manager/Microsoft.Elastic/stable/2020-07-01/elastic.json
Microsoft.AnalysisServices, analysisservices, specification/analysisservices/resource-manager/Microsoft.AnalysisServices/stable/2017-08-01/analysisservices.json
Microsoft.KeyVault, keyvault, specification/keyvault/resource-manager/Microsoft.KeyVault/stable/2019-09-01/keyvault.json
Microsoft.KeyVault, providers, specification/keyvault/resource-manager/Microsoft.KeyVault/stable/2019-09-01/providers.json
Microsoft.KeyVault, secrets, specification/keyvault/resource-manager/Microsoft.KeyVault/stable/2019-09-01/secrets.json
Microsoft.KeyVault, keys, specification/keyvault/resource-manager/Microsoft.KeyVault/stable/2019-09-01/keys.json
Microsoft.ManagedIdentity, ManagedIdentity, specification/msi/resource-manager/Microsoft.ManagedIdentity/stable/2018-11-30/ManagedIdentity.json
Microsoft.Security, settings, specification/security/resource-manager/Microsoft.Security/stable/2021-07-01/settings.json
Microsoft.Cache, redis, specification/redis/resource-manager/Microsoft.Cache/stable/2020-12-01/redis.json
Microsoft.SignalRService, signalr, specification/signalr/resource-manager/Microsoft.SignalRService/stable/2021-10-01/signalr.json
Microsoft.Capacity, reservations, specification/reservations/resource-manager/Microsoft.Capacity/stable/2021-07-01/reservations.json
Microsoft.ResourceHealth, ResourceHealth, specification/resourcehealth/resource-manager/Microsoft.ResourceHealth/stable/2020-05-01/ResourceHealth.json
Microsoft.Migrate, resourcemovercollection, specification/resourcemover/resource-manager/Microsoft.Migrate/stable/2021-01-01/resourcemovercollection.json
Microsoft.Web, ResourceHealthMetadata, specification/web/resource-manager/Microsoft.Web/stable/2021-02-01/ResourceHealthMetadata.json
Microsoft.Web, ResourceProvider, specification/web/resource-manager/Microsoft.Web/stable/2021-02-01/ResourceProvider.json
Microsoft.Web, DeletedWebApps, specification/web/resource-manager/Microsoft.Web/stable/2021-02-01/DeletedWebApps.json
Microsoft.Web, Certificates, specification/web/resource-manager/Microsoft.Web/stable/2021-02-01/Certificates.json
Microsoft.Web, AppServiceEnvironments, specification/web/resource-manager/Microsoft.Web/stable/2021-02-01/AppServiceEnvironments.json
Microsoft.Web, Diagnostics, specification/web/resource-manager/Microsoft.Web/stable/2021-02-01/Diagnostics.json
Microsoft.Web, AppServicePlans, specification/web/resource-manager/Microsoft.Web/stable/2021-02-01/AppServicePlans.json
Microsoft.Web, StaticSites, specification/web/resource-manager/Microsoft.Web/stable/2021-02-01/StaticSites.json
Microsoft.Web, Global, specification/web/resource-manager/Microsoft.Web/stable/2021-02-01/Global.json
Microsoft.Web, Provider, specification/web/resource-manager/Microsoft.Web/stable/2021-02-01/Provider.json
Microsoft.Web, KubeEnvironments, specification/web/resource-manager/Microsoft.Web/stable/2021-02-01/KubeEnvironments.json
Microsoft.Web, Recommendations, specification/web/resource-manager/Microsoft.Web/stable/2021-02-01/Recommendations.json
Microsoft.Web, CommonDefinitions, specification/web/resource-manager/Microsoft.Web/stable/2021-02-01/CommonDefinitions.json
Microsoft.Web, WebApps, specification/web/resource-manager/Microsoft.Web/stable/2021-02-01/WebApps.json
Microsoft.DomainRegistration, TopLevelDomains, specification/web/resource-manager/Microsoft.DomainRegistration/stable/2021-02-01/TopLevelDomains.json
Microsoft.DomainRegistration, DomainRegistrationProvider, specification/web/resource-manager/Microsoft.DomainRegistration/stable/2021-02-01/DomainRegistrationProvider.json
Microsoft.DomainRegistration, Domains, specification/web/resource-manager/Microsoft.DomainRegistration/stable/2021-02-01/Domains.json
Microsoft.CertificateRegistration, CertificateRegistrationProvider, specification/web/resource-manager/Microsoft.CertificateRegistration/stable/2021-02-01/CertificateRegistrationProvider.json
Microsoft.CertificateRegistration, AppServiceCertificateOrders, specification/web/resource-manager/Microsoft.CertificateRegistration/stable/2021-02-01/AppServiceCertificateOrders.json
Microsoft.CertificateRegistration, CertificateOrdersDiagnostics, specification/web/resource-manager/Microsoft.CertificateRegistration/stable/2021-02-01/CertificateOrdersDiagnostics.json
Microsoft.Consumption, consumption, specification/consumption/resource-manager/Microsoft.Consumption/stable/2021-10-01/consumption.json
Microsoft.AlertsManagement, SmartDetectorAlertRulesApi, specification/alertsmanagement/resource-manager/Microsoft.AlertsManagement/stable/2021-04-01/SmartDetectorAlertRulesApi.json
Microsoft.DelegatedNetwork, common-types, specification/dnc/resource-manager/Microsoft.DelegatedNetwork/stable/2021-03-15/common-types.json
Microsoft.DelegatedNetwork, delegatedSubnets, specification/dnc/resource-manager/Microsoft.DelegatedNetwork/stable/2021-03-15/delegatedSubnets.json
Microsoft.DelegatedNetwork, controller, specification/dnc/resource-manager/Microsoft.DelegatedNetwork/stable/2021-03-15/controller.json
